INFO  24-01-13 12:12:55[Test worker] [JtaPlatformInitiator:58] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
DEBUG 24-01-13 12:12:55[Test worker] [TypeConfiguration$Scope:204] - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@71285693] to SessionFactoryImplementor [org.hibernate.internal.SessionFactoryImpl@508abc74]
DEBUG 24-01-13 12:12:55[Test worker] [SQL:135] - 
    create table banner (
        id varchar(30) not null,
        created_at DATETIME DEFAULT NOW() not null,
        updated_at DATETIME ON UPDATE NOW(),
        created_member_id varchar(30) not null,
        updated_member_id varchar(30),
        ends_at DATETIME,
        image_path varchar(100) not null,
        is_linked TINYINT(1) default false not null,
        is_mobile TINYINT(1) default false not null,
        is_time_limited TINYINT(1) default false not null,
        link_address varchar(100),
        starts_at DATETIME,
        primary key (id)
    ) engine=InnoDB
DEBUG 24-01-13 12:12:55[Test worker] [SQL:135] - 
    create table notification (
        id varchar(30) not null,
        created_at DATETIME DEFAULT NOW() not null,
